==================================================
NATASHA NER EVALUATION RESULTS
==================================================

Overall Results (122 files):
Precision: 0.9185
Recall: 0.8429
F1 Score: 0.8791
True Positives: 1014
False Positives: 90
False Negatives: 189

Per-file results:
----------------------------------------------------------------------
File                 Precision  Recall     F1         TP    FP    FN   
----------------------------------------------------------------------
book_154             0.9688     0.9688     0.9688     31    1     1    
book_146             0.0000     0.0000     0.0000     0     0     0    
book_188             0.8333     0.8333     0.8333     5     1     1    
book_737             1.0000     1.0000     1.0000     2     0     0    
book_74              1.0000     1.0000     1.0000     4     0     0    
book_367             0.4444     0.4000     0.4211     4     5     6    
book_156             1.0000     1.0000     1.0000     5     0     0    
book_503             1.0000     1.0000     1.0000     1     0     0    
book_296             1.0000     1.0000     1.0000     2     0     0    
book_399             1.0000     1.0000     1.0000     9     0     0    
book_397             0.6667     0.5333     0.5926     8     4     7    
book_346             0.8000     0.8000     0.8000     4     1     1    
book_290             1.0000     1.0000     1.0000     15    0     0    
book_179             1.0000     0.8333     0.9091     5     0     1    
book_259             1.0000     1.0000     1.0000     18    0     0    
book_127             1.0000     1.0000     1.0000     2     0     0    
book_176             1.0000     1.0000     1.0000     9     0     0    
book_256             1.0000     1.0000     1.0000     4     0     0    
book_337             1.0000     1.0000     1.0000     4     0     0    
book_498             0.0000     0.0000     0.0000     0     3     9    
book_252             1.0000     1.0000     1.0000     18    0     0    
book_282             1.0000     0.4444     0.6154     4     0     5    
book_261             1.0000     1.0000     1.0000     6     0     0    
book_336             1.0000     1.0000     1.0000     3     0     0    
book_424             1.0000     0.8571     0.9231     12    0     2    
book_413             1.0000     1.0000     1.0000     9     0     0    
book_263             0.0000     0.0000     0.0000     0     0     0    
book_347             1.0000     1.0000     1.0000     32    0     0    
book_480             0.0000     0.0000     0.0000     0     0     5    
book_374             1.0000     1.0000     1.0000     9     0     0    
book_182             0.9615     0.9615     0.9615     25    1     1    
book_398             0.9714     0.8947     0.9315     34    1     4    
book_145             0.7727     0.8095     0.7907     17    5     4    
book_365             1.0000     0.3750     0.5455     3     0     5    
book_438             0.9375     0.8333     0.8824     30    2     6    
book_462             0.7143     0.6250     0.6667     5     2     3    
book_310             1.0000     0.7500     0.8571     3     0     1    
book_461             0.7778     0.8750     0.8235     7     2     1    
book_443             0.8889     0.7273     0.8000     16    2     6    
book_622             1.0000     1.0000     1.0000     2     0     0    
book_151             0.8333     0.4167     0.5556     10    2     14   
book_323             1.0000     1.0000     1.0000     2     0     0    
book_301             1.0000     0.8571     0.9231     12    0     2    
book_286             0.0000     0.0000     0.0000     0     0     0    
book_410             0.9500     0.8261     0.8837     19    1     4    
book_99              1.0000     0.5000     0.6667     2     0     2    
book_335             1.0000     1.0000     1.0000     2     0     0    
book_180             0.0000     0.0000     0.0000     0     0     0    
book_278             1.0000     1.0000     1.0000     8     0     0    
book_147             0.9057     0.8571     0.8807     48    5     8    
book_412             1.0000     1.0000     1.0000     2     0     0    
book_354             0.0000     0.0000     0.0000     0     0     0    
book_258             0.0000     0.0000     0.0000     0     0     0    
book_215             0.0000     0.0000     0.0000     0     0     0    
book_425             1.0000     1.0000     1.0000     7     0     0    
book_389             0.9091     0.7843     0.8421     40    4     11   
book_383             1.0000     1.0000     1.0000     2     0     0    
book_253             0.7059     0.9231     0.8000     24    10    2    
book_61              1.0000     1.0000     1.0000     4     0     0    
book_129             1.0000     1.0000     1.0000     1     0     0    
book_542             1.0000     1.0000     1.0000     17    0     0    
book_409             1.0000     1.0000     1.0000     4     0     0    
book_288             0.6923     0.5625     0.6207     9     4     7    
book_100             1.0000     1.0000     1.0000     14    0     0    
book_295             1.0000     1.0000     1.0000     7     0     0    
book_370             1.0000     1.0000     1.0000     5     0     0    
book_117             1.0000     1.0000     1.0000     8     0     0    
book_247             0.6667     1.0000     0.8000     2     1     0    
book_228             1.0000     1.0000     1.0000     1     0     0    
book_369             1.0000     1.0000     1.0000     4     0     0    
book_260             0.9286     0.8667     0.8966     13    1     2    
book_314             0.8889     1.0000     0.9412     8     1     0    
book_344             0.0000     0.0000     0.0000     0     0     0    
book_302             1.0000     1.0000     1.0000     11    0     0    
book_142             0.9778     0.9565     0.9670     44    1     2    
book_356             1.0000     1.0000     1.0000     2     0     0    
book_618             1.0000     0.6667     0.8000     2     0     1    
book_348             1.0000     1.0000     1.0000     6     0     0    
book_297             1.0000     1.0000     1.0000     8     0     0    
book_506             1.0000     1.0000     1.0000     4     0     0    
book_324             1.0000     1.0000     1.0000     5     0     0    
book_58              1.0000     1.0000     1.0000     4     0     0    
book_193             1.0000     1.0000     1.0000     2     0     0    
book_411             0.9583     0.9020     0.9293     46    2     5    
book_194             0.0000     0.0000     0.0000     0     0     0    
book_271             0.9167     1.0000     0.9565     11    1     0    
book_361             0.6667     0.6667     0.6667     4     2     2    
book_124             0.8462     0.8462     0.8462     11    2     2    
book_270             1.0000     1.0000     1.0000     14    0     0    
book_326             1.0000     1.0000     1.0000     4     0     0    
book_294             1.0000     0.5000     0.6667     3     0     3    
book_457             0.0000     0.0000     0.0000     0     0     0    
book_489             1.0000     1.0000     1.0000     8     0     0    
book_105             0.7333     0.9167     0.8148     11    4     1    
book_131             0.0000     0.0000     0.0000     0     0     0    
book_375             1.0000     0.8571     0.9231     12    0     2    
book_546             1.0000     1.0000     1.0000     5     0     0    
book_504             0.6000     0.4286     0.5000     3     2     4    
book_3269            1.0000     0.3333     0.5000     1     0     2    
book_349             1.0000     0.6667     0.8000     4     0     2    
book_455             1.0000     0.5000     0.6667     2     0     2    
book_1256            0.0000     0.0000     0.0000     0     0     0    
book_426             1.0000     1.0000     1.0000     2     0     0    
book_396             0.9375     0.6522     0.7692     15    1     8    
book_510             0.0000     0.0000     0.0000     0     0     0    
book_333             1.0000     1.0000     1.0000     7     0     0    
book_401             0.0000     0.0000     0.0000     0     0     0    
book_444             0.7083     0.6071     0.6538     17    7     11   
book_93              0.0000     0.0000     0.0000     0     0     1    
book_434             1.0000     1.0000     1.0000     3     0     0    
book_392             1.0000     0.5000     0.6667     2     0     2    
book_448             1.0000     0.9714     0.9855     34    0     1    
book_98              1.0000     1.0000     1.0000     2     0     0    
book_115             0.0000     0.0000     0.0000     0     0     4    
book_189             0.0000     0.0000     0.0000     0     0     0    
book_191             0.0000     0.0000     0.0000     0     0     0    
book_317             1.0000     1.0000     1.0000     7     0     0    
book_1667            0.5000     0.2941     0.3704     5     5     12   
book_394             0.8095     0.8947     0.8500     17    4     2    
book_402             1.0000     1.0000     1.0000     3     0     0    
book_483             0.9333     0.9333     0.9333     42    3     3    
book_475             1.0000     1.0000     1.0000     4     0     0
